experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,environment,spawn
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,1,1,1,4.883857,18.23999,nature,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,2,1,2,18.23999,23.21999,nature,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,3,1,3,23.21999,28.41999,nature,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,4,1,4,28.41999,33.17999,nature,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,5,1,5,33.17999,38.59999,nature,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,6,1,6,38.59999,45.43998,nature,wrong
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,7,2,1,101.18,105.78,office,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,8,2,2,105.78,110.46,office,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,9,2,3,110.46,115.28,office,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,10,2,4,115.28,120.2,office,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,11,2,5,120.2,124.82,office,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,12,2,6,124.82,130.3999,office,wrong
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,13,3,1,143.28,149.2399,stone,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,14,3,2,149.2399,154.9799,stone,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,15,3,3,154.9799,159.8599,stone,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,16,3,4,159.8599,164.7599,stone,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,17,3,5,164.7599,169.5799,stone,start
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,18,3,6,169.5799,175.0599,stone,wrong
YMaze_Settings,buck-96097db2-eb4e-41ae-800b-62e179a82d45,1,19,4,1,175.0599,176.8613,ocean,start
