Environment	Cummulative_Time	X	Z	rotation
Nature_Env	3.604472	31.67026	31.67026	240
Nature_Env	4.615758	22.8368	22.8368	240
Nature_Env	5.629158	14.17655	14.17655	240
Nature_Env	6.645391	5.343089	5.343089	240
Nature_Env	7.657437	-0.8922931	-0.8922931	240
Nature_Env	8.669574	-1.668015	-1.668015	309.1295
Nature_Env	9.680352	-8.804657	-8.804657	309.1295
Nature_Env	10.68264	-14.87484	-14.87484	299.8687
Nature_Env	11.69375	-23.71997	-23.71997	299.8687
Nature_Env	12.70483	-32.39166	-32.39166	299.8687
Nature_Env	13.71613	-41.23679	-41.23679	299.8687
Nature_Env	14.72934	-41.41022	-41.41022	286.7159
Nature_Env	15.74034	-41.41022	-41.41022	313.8454
Nature_Env	16.74414	-41.41022	-41.41022	313.8454
Nature_Env	17.75569	33.2291	33.2291	240
Nature_Env	18.76621	33.2291	33.2291	240
